ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Ksar Ouled Soltane,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.788,10.298,0.0,Non,30,"Le Ksar Ouled Soltane est un magnifique grenier fortifié du XVIIe siècle avec ses ghorfas empilées, classé au patrimoine mondial de l'UNESCO.",,{'toujours_ouvert': True}
2,Chenini,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.918,10.268,0.0,Non,30,"Chenini est un village berbère troglodyte perché sur une crête, célèbre pour ses maisons creusées dans la roche et sa mosquée des Sept Dormants.",,{'toujours_ouvert': True}
3,Douiret,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.9833,10.4167,0.0,Non,30,"Douiret est un ancien village berbère abandonné sur une montagne, offrant une architecture troglodyte unique et des vues panoramiques.",,{'toujours_ouvert': True}
4,Ksar Hadada,SITE_TOURISTIQUE,CULTUREL,Tataouine,33.1,10.3167,0.0,Non,30,Le Ksar Hadada est un grenier fortifié devenu célèbre après le tournage de Star Wars Épisode I dans ses ghorfas.,,{'toujours_ouvert': True}
5,Ksar Beni Barka,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.95,10.35,0.0,Non,30,"Le Ksar Beni Barka est considéré comme le plus grand ksar du Maghreb, avec plus de 400 ghorfas encore utilisées par les nomades.",,{'toujours_ouvert': True}
6,Parc National de Jebil,SITE_TOURISTIQUE,ECOLOGIQUE,Tataouine,32.5,10.2,0.0,Non,30,"Le parc national de Jebil est le plus grand parc national de Tunisie, abritant le désert du Grand Erg Oriental, des gazelles et des renards.",,{'toujours_ouvert': True}
7,Oued El Khil,SITE_TOURISTIQUE,"AVENTURE, ECOLOGIQUE",Tataouine,32.85,10.4,0.0,Non,30,L'oued El Khil est un canyon désertique offrant des paysages sauvages et des randonnées dans le Dahar.,,{'toujours_ouvert': True}
8,Restaurant Dar Chenini,RESTAURANT,GASTRONOMIQUE,Tataouine,32.92,10.27,0.0,Non,30,Le Dar Chenini est un restaurant traditionnel berbère servant la cuisine locale du Dahar dans un cadre authentique.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
9,Café Berbère Tataouine,RESTAURANT,GASTRONOMIQUE,Tataouine,32.935,10.455,0.0,Non,30,Le Café Berbère est une institution de Tataouine où l'on déguste le thé à la menthe et les pâtisseries locales.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
10,Hôtel Sangho Tataouine,HEBERGEMENT,BALNEAIRE,Tataouine,32.94,10.46,0.0,Non,30,L'hôtel Sangho Tataouine est un établissement de style ksar offrant une immersion dans l'architecture traditionnelle du Sud.,,{'toujours_ouvert': True}
11,Auberge de Jeunesse Ksar Ouled Soltane,HEBERGEMENT,BALNEAIRE,Tataouine,32.79,10.3,0.0,Non,30,"Cette auberge propose un hébergement authentique au cœur du ksar, idéale pour découvrir la vie berbère.",,{'toujours_ouvert': True}
12,Guermessa,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.85,10.25,0.0,Non,30,"Guermessa est un village berbère troglodyte perché sur un piton rocheux, offrant un paysage lunaire spectaculaire.",,{'toujours_ouvert': True}
13,Ksar Ouled Debbab,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.88,10.32,0.0,Non,30,"Le Ksar Ouled Debbab est un grenier fortifié typique du Dahar, témoignant de l'ingéniosité architecturale des populations du désert.",,{'toujours_ouvert': True}
14,Ghomrassen,SITE_TOURISTIQUE,CULTUREL,Tataouine,33.05,10.3333,0.0,Non,30,"Ghomrassen est un village historique du Dahar connu pour son ksar, ses grottes habitées et son festival international des ksour.",,{'toujours_ouvert': True}
15,Musée de Tataouine,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.93,10.452,0.0,Non,30,"Le musée de Tataouine présente l'histoire berbère, la culture des ksour et la faune du désert du Grand Erg Oriental.",,{'toujours_ouvert': True}
16,Souk de Tataouine,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.9333,10.45,0.0,Non,30,Le souk de Tataouine est un marché traditionnel où se retrouvent les nomades et les artisans du Dahar.,,{'toujours_ouvert': True}
17,Bir Lahmar,SITE_TOURISTIQUE,CULTUREL,Tataouine,33.1833,10.45,0.0,Non,30,"Bir Lahmar est une oasis du Dahar célèbre pour ses dattes Deglet Nour, ses ksour et ses paysages de palmeraies.",,{'toujours_ouvert': True}
18,Remada,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.3167,10.4,0.0,Non,30,"Remada est une ville oasis au sud de Tataouine, porte du désert et base pour explorer le Grand Erg Oriental.",,{'toujours_ouvert': True}
19,Dunes du Grand Erg Oriental,SITE_TOURISTIQUE,CULTUREL,Tataouine,32.3,10.5,0.0,Non,30,"Le Grand Erg Oriental est un immense champ de dunes de sable doré s'étendant jusqu'à la frontière libyenne, paradis du saharienisme.",,{'toujours_ouvert': True}
