ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Bir Barrouta,SITE_TOURISTIQUE,CULTUREL,القيروان,35.6762223,10.1008329,0.0,Non,85,Bir Barrouta est un monument tunisien situé dans la médina de Kairouan ; il est constitué par un édifice à coupole abritant un puits.,http://commons.wikimedia.org/wiki/Special:FilePath/Puits%20Barrouta.jpg,{'toujours_ouvert': True}
2,Mosquée des Trois Portes,SITE_TOURISTIQUE,CULTUREL,القيروان,35.6773314,10.1027543,0.0,Non,85,"The Mosque of the Three Doors or Mosque of Muhammad ibn Khairun is a mosque located in the city of Kairouan, Tunisia.",http://commons.wikimedia.org/wiki/Special:FilePath/Mosqu%C3%A9e%20des%20Trois%20Portes%204.JPG,{'toujours_ouvert': True}
3,Mosquée Al Malik,SITE_TOURISTIQUE,CULTUREL,القيروان,35.6764901,10.0997774,0.0,Non,85,Mosquée Al Malik est un site de type site touristique situé à القيروان.,http://commons.wikimedia.org/wiki/Special:FilePath/Mosqu%C3%A9e%20Maalaq%2002.JPG,{'toujours_ouvert': True}
4,Musée du Tapis,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.6725331,10.0991747,0.0,Non,80,musée du tapis de Kairouan,http://commons.wikimedia.org/wiki/Special:FilePath/Carpet%20Museum%20of%20Kairouan.jpg,{'toujours_ouvert': True}
5,Grande Mosquée de Kairouan,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",القيروان,35.6816021,10.1039549,0.0,Non,80,"The Great Mosque of Kairouan, also known as the Mosque of Uqba, is a mosque situated in the UNESCO World Heritage town of Kairouan, Tunisia and is one of the largest Islamic monuments in North Africa.",http://commons.wikimedia.org/wiki/Special:FilePath/Grande%20Mosqu%C3%A9e%20de%20Kairouan%2C%20vue%20d%27ensemble.jpg,{'toujours_ouvert': True}
6,Parc National de Jebel Zaghdoud,SITE_TOURISTIQUE,ECOLOGIQUE,Kairouan,35.9394228,9.7887299,0.0,Non,75,"Le parc national de Jebel Zaghdoud est un parc national de Tunisie située dans la délégation d'Oueslatia, rattachée au gouvernorat de Kairouan.",http://commons.wikimedia.org/wiki/Special:FilePath/Parc%20National%20Djebel%20Zaghdoud%2003.jpg,{'toujours_ouvert': True}
7,Mosquée Al Bey,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.6762504,10.100425,0.0,Non,75,"The Al Bey Mosque is a mosque located in the medina of Kairouan, Tunisia. Built around 1094 AH (1683), it was constructed by Muradid bey Mohamed Bey for the Hanafi community of Kairouan during a confl...",http://commons.wikimedia.org/wiki/Special:FilePath/Mosqu%C3%A9e%20Al%20Bey%2009.JPG,{'toujours_ouvert': True}
8,Bab ech Chouhada,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.6745937,10.1012064,0.0,Non,55,Bab ech Chouhada est un site de type site touristique situé à Kairouan.,http://commons.wikimedia.org/wiki/Special:FilePath/Medina%20Gate%20Kairouan.jpg,{'toujours_ouvert': True}
9,Alnnahalat,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.796875,9.8061461,0.0,Non,50,Alnnahalat est un site de type site touristique situé à Kairouan.,,{'toujours_ouvert': True}
10,Ulissipira Amphitheatre,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.9585542,10.4411622,0.0,Non,50,amphithéâtre de Ulissipira,,{'toujours_ouvert': True}
11,Hôtel Continental,HEBERGEMENT,BALNEAIRE,القيروان,35.6855077,10.0979161,0.0,Non,35,Hôtel Continental est un site de type hebergement situé à القيروان.,,{'toujours_ouvert': True}
12,Zaouia Sidi Abdel Kader,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.6808347,10.101832,0.0,Non,35,Zaouia Sidi Abdel Kader est un site de type site touristique situé à Kairouan.,,{'toujours_ouvert': True}
13,Rakada Palace,SITE_TOURISTIQUE,CULTUREL,Kairouan,35.5930848,10.0530565,0.0,Non,35,Rakada Palace est un site de type site touristique situé à Kairouan.,,{'toujours_ouvert': True}
14,Dar Zitouna,HEBERGEMENT,BALNEAIRE,Kairouan,35.9261492,10.4833642,0.0,Non,30,Dar Zitouna est un site de type hebergement situé à Kairouan.,,{'toujours_ouvert': True}
15,Keftaji Khairi,RESTAURANT,GASTRONOMIQUE,Kairouan,35.676533,10.0999347,0.0,Non,30,Keftaji Khairi est un site de type restaurant situé à Kairouan.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
16,Kaftegi Anis,RESTAURANT,GASTRONOMIQUE,Kairouan,35.6809695,10.1000926,0.0,Non,30,Kaftegi Anis est un site de type restaurant situé à Kairouan.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
17,Grande Mosquée Okba Ibn Nafaa,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Kairouan,35.6814,10.1036,0.0,Non,30,"La Grande Mosquée de Kairouan est le plus ancien édifice musulman d'Afrique du Nord, classée au patrimoine mondial de l'UNESCO.",,{'toujours_ouvert': True}
18,Hôtel La Kasbah,HEBERGEMENT,BALNEAIRE,Kairouan,35.684,10.106,0.0,Non,30,L'hôtel La Kasbah est un établissement de charme en bordure de médina avec piscine et architecture traditionnelle.,,{'toujours_ouvert': True}
