ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Musée National de Carthage,SITE_TOURISTIQUE,CULTUREL,Tunis,36.8535697,10.3242982,0.0,Non,85,"Carthage National Museum  is a national museum in Byrsa, Tunisia. Along with the Bardo National Museum, it is one of the two main local archaeological museums in the region. The edifice sits atop Byrs...",http://commons.wikimedia.org/wiki/Special:FilePath/Tunezja%2C%20Kartagina%2C%20Narodowe%20Muzeum%20Kartagi%C5%84skie%20-%20panoramio.jpg,{'toujours_ouvert': True}
2,Bab Saadoun,SITE_TOURISTIQUE,CULTUREL,Tunis,36.8085956,10.1590082,0.0,Non,85,"Bab Saadoun ou, plus exactement, Bab Bou Saadoun est l'une des portes de la médina de Tunis (Tunisie).",http://commons.wikimedia.org/wiki/Special:FilePath/Bab%20Saadoun%20Tunis.JPG,{'toujours_ouvert': True}
3,Palais de Mustafa Khaznadar,SITE_TOURISTIQUE,CULTUREL,Tunis,36.8087157,10.1676883,0.0,Non,85,"Le palais Khaznadar est un palais situé dans le quartier tunisois de Halfaouine, au nord de la médina de Tunis, construit au XIXe siècle.",http://commons.wikimedia.org/wiki/Special:FilePath/Fackh.JPG,{'toujours_ouvert': True}
4,Musée des finances,SITE_TOURISTIQUE,CULTUREL,تونس,36.8011203,10.1783091,0.0,Non,85,Musée des finances est un site de type site touristique situé à تونس.,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisia189.jpg,{'toujours_ouvert': True}
5,Statue d'Ibn Khaldoun,SITE_TOURISTIQUE,CULTUREL,Tunis,36.7995105,10.1790193,0.0,Non,70,statue d'Ibn Khaldoun,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20d%27Ibn%20Khaldoun%20-%20%D8%AA%D9%85%D8%AB%D8%A7%D9%84%20%D8%A7%D8%A8%D9%86%20%D8%AE%D9%84%D8%AF%D9%88%D9%86%20-%20Statue%20of%20Ibn%20Khaldun.jpg,{'toujours_ouvert': True}
6,Musée de la Monnaie,SITE_TOURISTIQUE,CULTUREL,Tunis,36.8046603,10.1850565,0.0,Non,60,Musée de la Monnaie est un site de type site touristique situé à Tunis.,http://commons.wikimedia.org/wiki/Special:FilePath/Tunis%20Mus%C3%A9e%20Monnaie.JPG,{'toujours_ouvert': True}
7,Villa Didon Carthage,HEBERGEMENT,BALNEAIRE,قرطاج بيرصة,36.8523767,10.3250922,0.0,Non,45,Villa Didon Carthage est un site de type hebergement situé à قرطاج بيرصة.,,{'toujours_ouvert': True}
8,Hôtel Golf Royal,HEBERGEMENT,BALNEAIRE,تونس,36.7988129,10.1839536,0.0,Non,45,Hôtel Golf Royal est un site de type hebergement situé à تونس.,,{'toujours_ouvert': True}
9,Villa Didon,HEBERGEMENT,BALNEAIRE,قرطاج بيرصة,36.8522792,10.3252258,0.0,Non,45,Villa Didon est un site de type hebergement situé à قرطاج بيرصة.,,{'toujours_ouvert': True}
10,Cap Carthage,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Tunis,36.8698456,10.3525676,0.0,Non,40,"Cap Carthage is a cape in Tunisia. Cap Carthage is situated east of Amilcar, close to La Villa Bleue Hotel & Spa.",,{'toujours_ouvert': True}
11,Mosquée de Nahj Matar,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Tunis,36.8707858,10.2428899,0.0,Non,35,Mosquée de Nahj Matar est un site de type site touristique situé à Tunis.,,{'toujours_ouvert': True}
