ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Douz,SITE_TOURISTIQUE,CULTUREL,Kebili,33.457,9.02,0.0,Non,30,"Douz est la Porte du Sahara, célèbre pour son festival international du Sahara, ses marchés aux dromadaires et ses dunes.",,{'toujours_ouvert': True}
2,Festival International du Sahara,SITE_TOURISTIQUE,CULTUREL,Kebili,33.46,9.025,0.0,Non,30,"Le Festival International du Sahara de Douz est l'événement phare des cultures nomades avec courses de dromadaires, méchouis et musique.",,{'toujours_ouvert': True}
3,Place des Martyrs Douz,SITE_TOURISTIQUE,CULTUREL,Kebili,33.455,9.018,0.0,Non,30,"La place des Martyrs est le cœur battant de Douz, entourée de cafés, de souks et de bâtiments administratifs coloniaux.",,{'toujours_ouvert': True}
4,Mosquée de Douz,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Kebili,33.458,9.022,0.0,Non,30,"La mosquée de Douz est un édifice religieux moderne au centre de la ville, point de rencontre de la communauté nomade.",,{'toujours_ouvert': True}
5,Marché aux Dromadaires de Douz,SITE_TOURISTIQUE,CULTUREL,Kebili,33.462,9.015,0.0,Non,30,Le marché aux dromadaires de Douz est un spectacle authentique où les éleveurs du Grand Erg Oriental viennent vendre leurs bêtes.,,{'toujours_ouvert': True}
6,Vieille Ville de Kebili,SITE_TOURISTIQUE,CULTUREL,Kebili,33.835,8.9833,0.0,Non,30,"La vieille ville de Kebili est un dédale de ruelles en terre ocre, de maisons traditionnelles et de souks centenaires.",,{'toujours_ouvert': True}
7,Oasis de Kebili,SITE_TOURISTIQUE,ECOLOGIQUE,Kebili,33.838,8.988,0.0,Non,30,"L'oasis de Kebili est un écrin de verdure au milieu du désert, célèbre pour ses dattes Deglet Nour et ses jardins en pergola.",,{'toujours_ouvert': True}
8,Zaouia de Sidi Bou Baker,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Kebili,33.84,8.99,0.0,Non,30,"La zaouia de Sidi Bou Baker est un lieu de dévotion soufi important de la région, témoin de la spiritualité du désert.",,{'toujours_ouvert': True}
9,Chott El Djerid Est,SITE_TOURISTIQUE,ECOLOGIQUE,Kebili,33.8,9.3,0.0,Non,30,La partie orientale du Chott El Djerid offre des paysages de sel irisés et des mirages spectaculaires à la lisière de Kebili.,,{'toujours_ouvert': True}
10,Oued El Khil,SITE_TOURISTIQUE,"AVENTURE, ECOLOGIQUE",Kebili,33.65,9.15,0.0,Non,30,"L'oued El Khil est un canyon désertique aux falaises abruptes, idéal pour la randonnée et l'exploration géologique.",,{'toujours_ouvert': True}
11,Sebkhet El Melah,SITE_TOURISTIQUE,ECOLOGIQUE,Kebili,33.9,9.5,0.0,Non,30,"La sebkha El Melah est un lac salé aux teintes changeantes, refuge d'oiseaux migrateurs et site de photographie unique.",,{'toujours_ouvert': True}
12,Restaurant Le Saharien Douz,RESTAURANT,GASTRONOMIQUE,Kebili,33.456,9.021,0.0,Non,30,"Le Saharien est un restaurant institution de Douz spécialisé dans le méchoui, le couscous aux dattes et la cuisine nomade.",,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
13,Café Nomade Kebili,RESTAURANT,GASTRONOMIQUE,Kebili,33.836,8.987,0.0,Non,30,Le Café Nomade est un établissement traditionnel où l'on savoure le thé à la menthe et les dattes fraîches de l'oasis.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
14,Hôtel Sun Palm Douz,HEBERGEMENT,BALNEAIRE,Kebili,33.45,9.03,0.0,Non,30,"Le Sun Palm est un hôtel 4 étoiles de Douz avec piscine, spa et accès direct aux dunes pour des balades en dromadaire.",,{'toujours_ouvert': True}
15,Camping Bivouac du Désert,HEBERGEMENT,"ECOLOGIQUE, AVENTURE",Kebili,33.41,9.08,0.0,Non,30,Ce camp de bivouac offre une expérience authentique de nuit sous les étoiles dans le Grand Erg Oriental.,,{'toujours_ouvert': True}
16,Musée de Kebili,SITE_TOURISTIQUE,CULTUREL,Kebili,33.832,8.985,0.0,Non,30,"Le musée de Kebili retrace l'histoire des civilisations du Jérid, des cultures nomades et de la vie oasisienne.",,{'toujours_ouvert': True}
17,Grand Erg Oriental,SITE_TOURISTIQUE,CULTUREL,Kebili,33.3,9.2,0.0,Non,30,"Le Grand Erg Oriental est un immense océan de dunes dorées s'étendant sur des centaines de kilomètres, paradis du sahara trekking.",,{'toujours_ouvert': True}
18,Dunes de Douz,SITE_TOURISTIQUE,CULTUREL,Kebili,33.42,9.1,0.0,Non,30,Les dunes de Douz offrent des paysages lunaires et des expériences de bivouac bédouin au cœur du désert tunisien.,,{'toujours_ouvert': True}
19,Souk Lahad,SITE_TOURISTIQUE,CULTUREL,Kebili,33.8833,9.0,0.0,Non,30,"Souk Lahad est une ville oasis connue pour son marché hebdomadaire, ses poteries et son artisanat du cuir.",,{'toujours_ouvert': True}
20,El Faouar,SITE_TOURISTIQUE,CULTUREL,Kebili,33.35,9.55,0.0,Non,30,"El Faouar est une oasis du Grand Erg Oriental, base de départ pour les expéditions dans le désert profond.",,{'toujours_ouvert': True}
