ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Musée du patrimoine traditionnel de Djerba,SITE_TOURISTIQUE,CULTUREL,Houmt Souk,33.8799161,10.8624273,0.0,Non,90,musée du patrimoine traditionnel de Djerba,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisie%20mus%C3%A9e%20Djerba%201.jpg,{'toujours_ouvert': True}
2,Synagogue de la Ghriba,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Medenine,33.813923,10.8593929,0.0,Non,80,"The El Ghriba Synagogue, also known as the Djerba Synagogue, is an ancient Maghrebi Jewish congregation and synagogue, located in the Jewish village of Hara Seghira, several kilometres southwest of Ho...",http://commons.wikimedia.org/wiki/Special:FilePath/L%27entr%C3%A9e%20principale.JPG,{'toujours_ouvert': True}
3,Lalla Hadria,SITE_TOURISTIQUE,CULTUREL,Medenine,33.8199094,11.0449202,0.0,Non,70,Lalla Hadria est un site de type site touristique situé à Medenine.,,{'toujours_ouvert': True}
4,Restaurant Essofra,RESTAURANT,GASTRONOMIQUE,Medenine,33.8789855,10.8593339,0.0,Non,40,Restaurant Essofra est un site de type restaurant situé à Medenine.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
5,Restaurant Haroun,RESTAURANT,GASTRONOMIQUE,حومة السوق,33.8855914,10.854848,0.0,Non,40,Restaurant Haroun est un site de type restaurant situé à حومة السوق.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
6,Djerba Sun Club,HEBERGEMENT,BALNEAIRE,Medenine,33.8593847,10.9746886,0.0,Non,35,Djerba Sun Club est un site de type hebergement situé à Medenine.,,{'toujours_ouvert': True}
7,"Mos Eisley Cantina, Star Wars",SITE_TOURISTIQUE,CULTUREL,أجيم,33.7240763,10.7500599,0.0,Non,35,"Mos Eisley Cantina, Star Wars est un site de type site touristique situé à أجيم.",,{'toujours_ouvert': True}
8,Hôtel Radisson Blu,HEBERGEMENT,BALNEAIRE,حومة السوق,33.8706074,10.959163,0.0,Non,35,"Radisson Blu Hotels & Resorts, anciennement Radisson SAS, est une marque très haut de gamme pour les hôtels Radisson principalement à l'extérieur des États-Unis, incluant ceux en Europe, en Afrique et...",,{'toujours_ouvert': True}
9,Sindbad,HEBERGEMENT,BALNEAIRE,حومة السوق,33.876451,10.8579943,0.0,Non,35,Sindbad est un site de type hebergement situé à حومة السوق.,,{'toujours_ouvert': True}
10,Hôtel Dar Ali,HEBERGEMENT,BALNEAIRE,Medenine,33.8682606,10.9613716,0.0,Non,35,Hôtel Dar Ali est un site de type hebergement situé à Medenine.,,{'toujours_ouvert': True}
