ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Catacombes,SITE_TOURISTIQUE,CULTUREL,Monastir,35.8181377,10.6263994,0.0,Non,95,Les catacombes de Sousse sont une nécropole souterraine située à l'ouest de la médina de Sousse (Tunisie). Elles sont découvertes en 1888 par le colonel Vincent.,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisie%20Sousse%20Catacombes%202.JPG,{'toujours_ouvert': True}
2,mausolée de Habib Bourguiba,SITE_TOURISTIQUE,CULTUREL,Monastir,35.7777983,10.8282543,0.0,Non,80,"Habib Bourguiba, de son nom complet Habib Ben Ali Bourguiba, né probablement le 3 août 1903 à Monastir et mort le 6 avril 2000 dans la même ville, est un homme d'État tunisien, président de la Républi...",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20officiel%20de%20Habib%20Bourguiba.png,{'toujours_ouvert': True}
3,Musée des arts et traditions populaires,SITE_TOURISTIQUE,CULTUREL,المنستير,35.774202,10.8309936,0.0,Non,70,musée des Arts et Traditions populaires de Monastir,http://commons.wikimedia.org/wiki/Special:FilePath/Ville%20de%20Monastir%2002.JPG,{'toujours_ouvert': True}
4,Musée d'arts islamiques,SITE_TOURISTIQUE,CULTUREL,المنستير,35.7759331,10.833079,0.0,Non,70,"Le ribat de Monastir est une forteresse tunisienne située au bord de la mer Méditerranée, dans la ville de Monastir.",http://commons.wikimedia.org/wiki/Special:FilePath/Ribat%20of%20Monastir%2C%20April%203%2C%202025%20%2801%29.jpg,{'toujours_ouvert': True}
5,Museum Dar Essid,SITE_TOURISTIQUE,CULTUREL,Monastir,35.8271516,10.6354408,0.0,Non,65,"The Dar Essid Museum is an art museum located in a palace in the medina of Sousse, Tunisia. The edifice belonged to a family of aristocrats.",http://commons.wikimedia.org/wiki/Special:FilePath/Dar%20Essid%20Museum%2C%20Sousse%2C%20Tunisia.JPG,{'toujours_ouvert': True}
6,In Café,RESTAURANT,GASTRONOMIQUE,المنستير,35.7737537,10.8146349,0.0,Non,35,In Café est un site de type restaurant situé à المنستير.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
7,Tao Sushi bar,RESTAURANT,GASTRONOMIQUE,Monastir,35.8450535,10.6247736,0.0,Non,35,Tao Sushi bar est un site de type restaurant situé à Monastir.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
8,Claudio,RESTAURANT,GASTRONOMIQUE,Monastir,35.842843,10.6025868,0.0,Non,35,Claudio est un site de type restaurant situé à Monastir.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
9,Musée el Kobba des arts et costumes traditionels,SITE_TOURISTIQUE,CULTUREL,Monastir,35.8250009,10.6382869,0.0,Non,35,Musée el Kobba des arts et costumes traditionels est un site de type site touristique situé à Monastir.,,{'toujours_ouvert': True}
10,Hôtel Tej Marhaba,HEBERGEMENT,BALNEAIRE,Monastir,35.8405893,10.6257748,0.0,Non,30,Hôtel Tej Marhaba est un site de type hebergement situé à Monastir.,,{'toujours_ouvert': True}
