ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Nabeul Museum,SITE_TOURISTIQUE,CULTUREL,Nabeul,36.4506766,10.7362439,0.0,Non,70,"Nabeul Museum is an archaeological museum located in Nabeul, Tunisia. It was established in 1984.",http://commons.wikimedia.org/wiki/Special:FilePath/Entr%C3%A9e%20mus%C3%A9e%20de%20Nabeul.JPG,{'toujours_ouvert': True}
2,M&C Café,RESTAURANT,GASTRONOMIQUE,Nabeul,36.4415108,10.7172212,0.0,Non,45,M&C Café est un site de type restaurant situé à Nabeul.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
3,Le Barberousse,RESTAURANT,GASTRONOMIQUE,الحمامات,36.3949332,10.6127177,0.0,Non,45,Le Barberousse est un site de type restaurant situé à الحمامات.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
4,Dar Raissi,HEBERGEMENT,BALNEAIRE,عين كميشة,36.5032171,10.6792745,0.0,Non,40,Dar Raissi est un site de type hebergement situé à عين كميشة.,,{'toujours_ouvert': True}
5,Marisa,SITE_TOURISTIQUE,CULTUREL,Nabeul,36.7614717,10.5575475,0.0,Non,35,Marisa est un site de type site touristique situé à Nabeul.,,{'toujours_ouvert': True}
6,La Jarre,SITE_TOURISTIQUE,CULTUREL,Nabeul,36.4512951,10.7356379,0.0,Non,35,La Jarre est un site de type site touristique situé à Nabeul.,,{'toujours_ouvert': True}
7,Dar Kaïs,RESTAURANT,GASTRONOMIQUE,Nabeul,36.4028359,10.5895703,0.0,Non,35,Dar Kaïs est un site de type restaurant situé à Nabeul.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
8,Restaurant Karoui - Fast Food,RESTAURANT,GASTRONOMIQUE,سليمان,36.6938695,10.4872605,0.0,Non,35,Restaurant Karoui - Fast Food est un site de type restaurant situé à سليمان.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
9,Restaurant Belhorizon,RESTAURANT,GASTRONOMIQUE,Korba,36.5631843,10.8524051,0.0,Non,35,Restaurant Belhorizon est un site de type restaurant situé à Korba.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
10,La Rambla,RESTAURANT,GASTRONOMIQUE,الحمامات,36.3970736,10.6136125,0.0,Non,35,La Rambla est un site de type restaurant situé à الحمامات.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
11,Al Amir,RESTAURANT,GASTRONOMIQUE,Nabeul,36.4505721,10.7326402,0.0,Non,35,Al Amir est un site de type restaurant situé à Nabeul.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
12,Hôtel Diar Lemdina,HEBERGEMENT,BALNEAIRE,Nabeul,36.3673723,10.5333275,0.0,Non,30,Hôtel Diar Lemdina est un site de type hebergement situé à Nabeul.,,{'toujours_ouvert': True}
13,Médina de Hammamet,SITE_TOURISTIQUE,CULTUREL,Nabeul,36.4,10.6167,0.0,Non,30,"La médina de Hammamet est une ancienne cité fortifiée datant du XVe siècle, célèbre pour ses ruelles blanches et ses souks.",,{'toujours_ouvert': True}
14,Fort de Hammamet,SITE_TOURISTIQUE,CULTUREL,Nabeul,36.401,10.615,0.0,Non,30,"Le fort de Hammamet est une forteresse ottomane dominant la mer Méditerranée, construite au XIIIe siècle.",,{'toujours_ouvert': True}
15,Plage de Hammamet,SITE_TOURISTIQUE,BALNEAIRE,Nabeul,36.405,10.62,0.0,Non,30,"La plage de Hammamet est l'une des plus célèbres de Tunisie, s'étendant sur des kilomètres de sable fin.",,{'toujours_ouvert': True}
16,Yasmin Hammamet,SITE_TOURISTIQUE,BALNEAIRE,Nabeul,36.38,10.54,0.0,Non,30,"Yasmin Hammamet est une marina moderne avec des hôtels de luxe, restaurants et boutiques au bord de la Méditerranée.",,{'toujours_ouvert': True}
17,Flipper Aquapark,ACTIVITE,"BALNEAIRE, AVENTURE",Nabeul,36.41,10.6,0.0,Non,30,Flipper Aquapark est un parc aquatique offrant de nombreux toboggans et piscines pour toute la famille.,,{'toujours_ouvert': True}
18,Plage de Nabeul,SITE_TOURISTIQUE,BALNEAIRE,Nabeul,36.46,10.75,0.0,Non,30,La plage de Nabeul offre une longue étendue de sable doré idéale pour la baignade et les sports nautiques.,,{'toujours_ouvert': True}
19,Plage La Mansoura (Kelibia),SITE_TOURISTIQUE,BALNEAIRE,Nabeul,36.855,11.1,0.0,Non,30,"La plage La Mansoura est une magnifique étendue de sable fin à Kelibia, prisée des amateurs de windsurf.",,{'toujours_ouvert': True}
20,Mosquée de Hammamet,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Nabeul,36.402,10.618,0.0,Non,30,La grande mosquée de Hammamet est un édifice religieux historique situé au cœur de la médina.,,{'toujours_ouvert': True}
