ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Musée archéologique de Sousse,SITE_TOURISTIQUE,CULTUREL,سوسة,35.8231085,10.6355756,9.0,Non,100,"The Sousse Archaeological Museum is an archaeological museum located in Sousse, Sousse Governorate, Tunisia.",http://commons.wikimedia.org/wiki/Special:FilePath/Archaeological%20Museum%20of%20Sousse%2007042013.jpg,"{'lundi': '08:00-17:00', 'mardi': '08:00-17:00', 'mercredi': '08:00-17:00', 'jeudi': '08:00-17:00', 'vendredi': '08:00-17:00', 'samedi': '08:00-17:00', 'dimanche': '08:00-12:00'}"
2,Catacombes,SITE_TOURISTIQUE,CULTUREL,Sousse,35.8181377,10.6263994,0.0,Non,95,Les catacombes de Sousse sont une nécropole souterraine située à l'ouest de la médina de Sousse (Tunisie). Elles sont découvertes en 1888 par le colonel Vincent.,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisie%20Sousse%20Catacombes%202.JPG,{'toujours_ouvert': True}
3,Museum Dar Essid,SITE_TOURISTIQUE,CULTUREL,Sousse,35.8271516,10.6354408,0.0,Non,65,"The Dar Essid Museum is an art museum located in a palace in the medina of Sousse, Tunisia. The edifice belonged to a family of aristocrats.",http://commons.wikimedia.org/wiki/Special:FilePath/Dar%20Essid%20Museum%2C%20Sousse%2C%20Tunisia.JPG,{'toujours_ouvert': True}
4,Farmer's Steakhouse,RESTAURANT,GASTRONOMIQUE,سوسة,35.8427406,10.624814,0.0,Non,50,Farmer's Steakhouse est un site de type restaurant situé à سوسة.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
5,Hôtel Medina,HEBERGEMENT,BALNEAIRE,سوسة,35.8264234,10.6394085,0.0,Non,45,Hôtel Medina est un site de type hebergement situé à سوسة.,,{'toujours_ouvert': True}
6,Le Méditerranée,RESTAURANT,GASTRONOMIQUE,القنطاوي,35.8930291,10.5981557,0.0,Non,40,Le Méditerranée est un site de type restaurant situé à القنطاوي.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
7,Tiziri 13,RESTAURANT,GASTRONOMIQUE,سوسة,35.8242716,10.6377706,0.0,Non,40,Tiziri 13 est un site de type restaurant situé à سوسة.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
8,Maison des arts Sousse,RESTAURANT,GASTRONOMIQUE,سوسة,35.8315142,10.6385769,0.0,Non,40,Maison des arts Sousse est un site de type restaurant situé à سوسة.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
9,Grande Mosquée de M'saken,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Sousse,35.7291451,10.5796662,0.0,Non,35,Grande Mosquée de M'saken est un site de type site touristique situé à Sousse.,,{'toujours_ouvert': True}
10,Claridge,HEBERGEMENT,BALNEAIRE,سوسة,35.8300642,10.6403721,0.0,Non,35,Claridge est un site de type hebergement situé à سوسة.,,{'toujours_ouvert': True}
