ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Borj el-Kébir,SITE_TOURISTIQUE,CULTUREL,Mahdia,35.5052464,11.0762696,0.0,Non,85,"Le borj El Kebir, appelé aussi kasbah de Mahdia, est une forteresse militaire ottomane du XVIe siècle située sur la presqu'île de Mahdia, en Tunisie.",http://commons.wikimedia.org/wiki/Special:FilePath/CourInterieureBorjElKebirMahdia.JPG,{'toujours_ouvert': True}
2,Iberostar Selection Royal El Mansour,HEBERGEMENT,BALNEAIRE,Mahdia,35.5126418,11.0495819,0.0,Non,80,Iberostar Selection Royal El Mansour,,{'toujours_ouvert': True}
3,رأس قبوذية,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Mahdia,35.2349333,11.156567,0.0,Non,70,رأس قبوذية est un site de type site touristique situé à Mahdia.,,{'toujours_ouvert': True}
4,Dar El Haddad,HEBERGEMENT,BALNEAIRE,المهدية,35.5056645,11.071568,0.0,Non,45,"Dar El Haddad est un monument tunisien considéré comme l'un des plus anciens palais de la médina de Tunis. Il est situé au numéro 9 de l'impasse de l'Artillerie, dans le quartier historique des Khoura...",,{'toujours_ouvert': True}
5,Al-Zouhour,RESTAURANT,GASTRONOMIQUE,المهدية,35.5049407,11.0644035,0.0,Non,35,Al-Zouhour est un site de type restaurant situé à المهدية.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
6,Cap Gaboudia,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Mahdia,35.3874477,11.0416979,0.0,Non,35,Cap Gaboudia est un site de type site touristique situé à Mahdia.,,{'toujours_ouvert': True}
7,Arc de soutènement d'une tour carrée,SITE_TOURISTIQUE,CULTUREL,Mahdia,35.5072744,11.0819638,0.0,Non,35,Arc de soutènement d'une tour carrée est un site de type site touristique situé à Mahdia.,,{'toujours_ouvert': True}
8,Pizzeria Vegas,RESTAURANT,GASTRONOMIQUE,المهدية,35.5043885,11.0723901,0.0,Non,35,Pizzeria Vegas est un site de type restaurant situé à المهدية.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
9,Café La Reine,RESTAURANT,GASTRONOMIQUE,kerker,35.4705707,10.667877,0.0,Non,35,Café La Reine est un site de type restaurant situé à kerker.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
10,One Resort El Mansour,HEBERGEMENT,BALNEAIRE,Mahdia,35.5277515,11.0357911,0.0,Non,30,One Resort El Mansour est un site de type hebergement situé à Mahdia.,,{'toujours_ouvert': True}
11,El Borj Hotel,HEBERGEMENT,BALNEAIRE,Mahdia,35.5250488,11.0385097,0.0,Non,30,El Borj Hotel est un site de type hebergement situé à Mahdia.,,{'toujours_ouvert': True}
12,Hotel club ksar Eljem,HEBERGEMENT,BALNEAIRE,Mahdia,35.3358188,10.6873658,0.0,Non,30,Hotel club ksar Eljem est un site de type hebergement situé à Mahdia.,,{'toujours_ouvert': True}
13,Musée et Monuments du Quartier Sud de Thysdrus,SITE_TOURISTIQUE,CULTUREL,Mahdia,35.2902134,10.7049475,0.0,Non,30,Musée et Monuments du Quartier Sud de Thysdrus est un site de type site touristique situé à Mahdia.,,{'toujours_ouvert': True}
14,Médina de Mahdia,SITE_TOURISTIQUE,CULTUREL,Mahdia,35.5047,11.0622,0.0,Non,30,"La médina de Mahdia est une ancienne cité fortifiée fondée par les Fatimides, célèbre pour ses remparts et sa mosquée.",,{'toujours_ouvert': True}
15,Ribat de Mahdia,SITE_TOURISTIQUE,CULTUREL,Mahdia,35.5025,11.073,0.0,Non,30,"Le Ribat de Mahdia est une forteresse monastique du IXe siècle dominant la mer, offrant une vue panoramique sur la côte.",,{'toujours_ouvert': True}
