ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Cap Blanc,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Bizerte,37.3379724,9.8368925,0.0,Non,80,Cap Blanc est un site de type site touristique situé à Bizerte.,,{'toujours_ouvert': True}
2,Cap Angela,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Bizerte,37.3468505,9.7423082,0.0,Non,75,"Le cap Angela ou ras Ennghela, est un cap rocheux de Tunisie, au bord de la mer Méditerranée, situé dans le gouvernorat de Bizerte, à environ quinze kilomètres du centre de la ville de Bizerte.",,{'toujours_ouvert': True}
3,Cap Zebib,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",رأس زبيب,37.268285,10.0682718,0.0,Non,70,"Le cap Zebib est un cap situé près de la ville de Metline, dans le Nord de la Tunisie.",,{'toujours_ouvert': True}
4,Cap Tarf,SITE_TOURISTIQUE,"BALNEAIRE, AVENTURE",Bizerte,37.1777628,10.2805256,0.0,Non,70,Cap Tarf est un site de type site touristique situé à Bizerte.,,{'toujours_ouvert': True}
5,Musée national d'Utique,SITE_TOURISTIQUE,CULTUREL,Bizerte,37.0506657,10.0569353,0.0,Non,65,"Le musée national d'Utique, parfois qualifié d'antiquarium d'Utique, est un musée tunisien situé sur le site archéologique d'Utique, au nord-est du pays. Il conserve une collection d'artefacts recueil...",,{'toujours_ouvert': True}
6,Phare de l'Île Plane,SITE_TOURISTIQUE,"BALNEAIRE, CULTUREL",Bizerte,37.1815684,10.3283122,0.0,Non,60,"Le phare de l'Île Plane est un phare situé sur l'île Plane, dans le prolongement du cap Sidi Ali El Mekki, proche de la ville de Ghar El Melh.",,{'toujours_ouvert': True}
7,Dar El Bey,RESTAURANT,GASTRONOMIQUE,Bizerte,37.1939754,10.1413581,0.0,Non,40,"Le Dar El Bey, connu sous l'appellation de Palais du Gouvernement, est un palais de la médina de Tunis.",,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
8,Utique,SITE_TOURISTIQUE,CULTUREL,Bizerte,37.0565361,10.062141,0.0,Non,35,"Utique est un site archéologique localisé à l'emplacement d'une ancienne cité portuaire fondée par les Phéniciens dans l'Antiquité. Il est situé dans le nord de l'actuelle Tunisie, à une trentaine de ...",,{'toujours_ouvert': True}
9,Musée océanographique,SITE_TOURISTIQUE,CULTUREL,Bizerte,37.2781887,9.8767036,0.0,Non,35,"Le Musée océanographique peut désigner :le Musée océanographique de Kaliningrad, en Russie ;
le Musée océanographique de Monaco ;
le Musée océanographique de Salammbô, en Tunisie ;
le Musée océanograp...",,{'toujours_ouvert': True}
10,Plage de Sidi Ali El Mekki,SITE_TOURISTIQUE,BALNEAIRE,Bizerte,37.1703223,10.253462,0.0,Non,35,Plage de Sidi Ali El Mekki est un site de type site touristique situé à Bizerte.,,{'toujours_ouvert': True}
11,Restaurant El Kheyem,RESTAURANT,GASTRONOMIQUE,بنزرت,37.3277479,9.8646239,0.0,Non,35,Restaurant El Kheyem est un site de type restaurant situé à بنزرت.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
12,Kessiba,SITE_TOURISTIQUE,CULTUREL,Bizerte,37.2788576,9.8753181,0.0,Non,35,Kessiba est un site de type site touristique situé à Bizerte.,,{'toujours_ouvert': True}
13,TIZIRI CAMP by Green TREK,HEBERGEMENT,"ECOLOGIQUE, AVENTURE",Bizerte,37.258722,9.3887026,10.0,Non,35,TIZIRI CAMP by Green TREK est un site de type hebergement situé à Bizerte.,,{'toujours_ouvert': True}
14,Rimel,HEBERGEMENT,BALNEAIRE,جرزونة,37.2545483,9.9104191,0.0,Non,35,Rimel est un site de type hebergement situé à جرزونة.,,{'toujours_ouvert': True}
15,Pizza Hot,RESTAURANT,GASTRONOMIQUE,بنزرت,37.3302274,9.8648459,0.0,Non,35,Pizza Hot est un site de type restaurant situé à بنزرت.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
