ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
1,Chak Wak,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.9110842,8.1464997,0.0,Non,75,Chak Wak est un site de type site touristique situé à Tozeur.,http://commons.wikimedia.org/wiki/Special:FilePath/Mod%C3%A8le%20de%20la%20Grande%20Mosqu%C3%A9e%20de%20Kairouan%20au%20parc%20Chak%20Wak%2C%20Tozeur.jpg,{'toujours_ouvert': True}
2,Dar Cherait,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.9131635,8.1206149,0.0,Non,70,Dar Cherait est un site de type site touristique situé à Tozeur.,http://commons.wikimedia.org/wiki/Special:FilePath/Dar%20Cherait.jpg,{'toujours_ouvert': True}
3,Star Wars Set - Mos Espa,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.9942556,7.8428154,0.0,Non,70,Star Wars Set - Mos Espa est un site de type site touristique situé à Tozeur.,http://commons.wikimedia.org/wiki/Special:FilePath/Ong%20Jmel%2C%20Mos%20Espa%2C%20Star%20Wars%20set%2C%20Nefta%2C%20Tunisie%20DSC%201993.jpg,{'toujours_ouvert': True}
4,Zoo du Sahara,SITE_TOURISTIQUE,AVENTURE,توزر,33.8961241,8.1361214,0.0,Non,55,Zoo du Sahara est un site de type site touristique situé à توزر.,http://commons.wikimedia.org/wiki/Special:FilePath/Dromadaire%20Tozeur.jpg,{'toujours_ouvert': True}
5,Star Wars Set - Lars Family Homestead Exterior,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.8427841,7.7789169,0.0,Non,55,Star Wars Set - Lars Family Homestead Exterior est un site de type site touristique situé à Tozeur.,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Wars%20in%20Tunisia%20-%20Lars%20Homestead%20in%20Chott%20el%20Djerid.jpg,{'toujours_ouvert': True}
6,Eden Palm,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.9171094,8.1472011,10.0,Non,35,Eden Palm est un site de type site touristique situé à Tozeur.,,"{'lundi': '08:00-17:00', 'mardi': '08:00-17:00', 'mercredi': '08:00-17:00', 'jeudi': '08:00-17:00', 'vendredi': '08:00-17:00', 'samedi': '08:00-17:00', 'dimanche': '08:00-12:00'}"
7,Hôtel Karim,HEBERGEMENT,BALNEAIRE,توزر,33.9155606,8.1301747,0.0,Non,35,Hôtel Karim est un site de type hebergement situé à توزر.,,{'toujours_ouvert': True}
8,Ibn Khouldoun,SITE_TOURISTIQUE,CULTUREL,Tozeur,33.921671,8.1310412,0.0,Non,35,Ibn Khouldoun est un site de type site touristique situé à Tozeur.,,{'toujours_ouvert': True}
9,Café Hay El Matar,RESTAURANT,GASTRONOMIQUE,Tozeur,33.9251866,8.1176845,0.0,Non,35,Café Hay El Matar est un site de type restaurant situé à Tozeur.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
10,Tozeriana Restaurant - café,RESTAURANT,GASTRONOMIQUE,Tozeur,33.9210559,8.1202951,0.0,Non,35,Tozeriana Restaurant - café est un site de type restaurant situé à Tozeur.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
11,Sahara Lounge,RESTAURANT,GASTRONOMIQUE,Tozeur,33.9147608,8.1398295,0.0,Non,30,Sahara Lounge est un site de type restaurant situé à Tozeur.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
12,Belvedere Rock,SITE_TOURISTIQUE,"AVENTURE, ECOLOGIQUE",Tozeur,33.9087543,8.1106841,0.0,Non,30,Belvedere Rock est un site de type site touristique situé à Tozeur.,,{'toujours_ouvert': True}
13,Ras El Ain,HEBERGEMENT,BALNEAIRE,Tozeur,33.9132989,8.1175808,0.0,Non,30,Ras El Ain est un site de type hebergement situé à Tozeur.,,{'toujours_ouvert': True}
14,Zaouia de Sidi Brahim,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Tozeur,33.91,8.15,0.0,Non,30,"La zaouia de Sidi Brahim est un lieu de pèlerinage soufi important, témoignant de la spiritualité profonde du sud tunisien.",,{'toujours_ouvert': True}
15,Mosquée Sidi Bou Helal,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Tozeur,33.921,8.132,0.0,Non,30,La mosquée Sidi Bou Helal est un édifice religieux historique au cœur de la médina de Tozeur.,,{'toujours_ouvert': True}
16,Chott El Djerid,SITE_TOURISTIQUE,ECOLOGIQUE,Tozeur,33.7,8.2667,0.0,Non,30,"Le Chott El Djerid est un vaste lac salé aux reflets irisés, créant des mirages spectaculaires au cœur du désert.",,{'toujours_ouvert': True}
